year,program_id,category,title,session,authors_affiliations,doi,doi_url,abstract_source_url,abstract_summary_ko,abstract_note
2023,S02-03,adjacent,Effect of Surface Roughness of Polymer Dielectric Materials on Resolution of Fine Line Features,Session 02 - High-Performance Packaging Materials,"Pragna Bhaskar, Mohanalingam Kathaperumal, Christopher Blancher, Mark Losego, Madhavan Swaminathan - Georgia Institute of Technology",10.1109/ectc51909.2023.00017,https://doi.org/10.1109/ectc51909.2023.00017,https://www.semanticscholar.org/paper/0a05ff243472c5cadc32170bea47b3d0e3cf6e3e,3D 프로파일러와 AFM으로 저유전 폴리머의 길이척도별 거칠기를 재고 미세 RDL 선폭 형성 결과와 상관시켰다.,
2023,S03-02,adjacent,Fine Pitch Die-to-Wafer Hybrid Bonding,Session 03 - Advancements in Copper/Silicon-Oxide Hybrid Bonding,"Thomas Workman, Jeremy Theil, Gill Fountain, Dominik Suwito, Cyprian Uzoh, Guilian Gao, K. M. Bang, Bongsub Lee, Laura Mirkarimi - Adeia",10.1109/ectc51909.2023.00023,https://doi.org/10.1109/ectc51909.2023.00023,https://www.semanticscholar.org/paper/91c0f3e056475d939bfa84802c80ac538114d2ba,7 µm 피치 D2W 하이브리드 본딩을 전기저항·CSAM·단면 현미경으로 교차 검사해 정렬 수율과 보이드 결함도를 평가했다.,
2023,S04-04,adjacent,A Methodology to Optimize Laser Dicing Parameters to Maximize Dicing Quality Through Machine Learning,Session 04 - Assembly and Manufacturing Process Enhancement,"Sathya Raghavan, Aakrati Jain, Prabudhya Roy Chowdhury, Katsuyuki Sakuma - IBM Research; Roman Doll, Kees Biesheuvel, Faysal Boughorbel, Jeroen Van Borkulo, Mark Mueller - ASMPT ALSI B.V.",10.1109/ectc51909.2023.00032,https://doi.org/10.1109/ectc51909.2023.00032,https://www.semanticscholar.org/paper/a23626b24906c5e1c8ffa9f4236093cc766c435a,레이저 다이싱 폭과 다이 강도를 반복 측정해 학습한 랜덤포레스트 대리모델로 다이싱 품질의 공정창을 최적화했다.,
2023,S05-02,core,Addressing sub-Micron Thermal Warpage: Industrial Application on Semiconductor Devices,Session 05 - Underfilling and Chip-Package-Interaction,"Safia Benkoula - STMicroelectronics; Rodolfo Cruz, Pierre Vernhes - INSIDIX",10.1109/ectc51909.2023.00037,https://doi.org/10.1109/ectc51909.2023.00037,https://www.semanticscholar.org/paper/e3b60dde1e338b9e0f4033651380a24bded65baa,투명·반투명 광학 패키지도 별도 표면 처리 없이 서브마이크론 열 변형을 재도록 OCT 기반 워페이지 계측법을 제안했다.,
2023,S05-03,adjacent,Optimization of 2.2D Underfill Process by Novel Methodology and Direct Observation of Capillary Underfill Process,Session 05 - Underfilling and Chip-Package-Interaction,"Chia-Peng Sun, Yu-En Liang - CoreTech System (Moldex3D); Dyi-Chung Hu, Er-Hao Chen - SiPlus Co., Ltd.; Jeffrey ChangBing Lee - iST-Integrated Service Technology, Inc.; Srikar Vallury - Moldex3D Northern America, Inc.",10.1109/ectc51909.2023.00038,https://doi.org/10.1109/ectc51909.2023.00038,https://www.semanticscholar.org/paper/f3dbe039035946ce5355ba82a9810a15b6eadd73,모세관 언더필의 이동 전면을 in-situ 관찰하고 3D CAE 예측과 대조해 디스펜싱 대기시간을 줄였다.,
2023,S08-01,core,A New Vibration Test Method for Automotive and Consumer Electronic Devices: Calibration and Fatigue Test,Session 08 - Novel Reliability Test Methods,"Dongji Xie, Joe Hai - Nvidia Corporation; Andy Zhang - Texas Instruments, Inc.; Jeffrey Lee - iST-Integrated Service Technology, Inc.; Romuald Roucou - NXP Semiconductor, Inc.; Xue Shi - Bosch Automotive Products Co., Ltd.; Sushil Doranga - Lamar University; Valeriy Khaldarov - ASONIKA, LLC",10.1109/ectc51909.2023.00056,https://doi.org/10.1109/ectc51909.2023.00056,https://www.semanticscholar.org/paper/aefd0da5f705d332c227b4829247a8aab7ba3c31,5개 시험소에서 가속도·변형률·피로 파손을 교차 비교해 자동차·소비자 전자기기용 진동 시험의 교정성과 재현성을 검증했다.,
2023,S08-02,core,Magnetic Force-Based Measurement Technique to Investigate the Effect of Lead-Free Solder Intermetallic Compounds (IMC) on Interconnect Reliability,Session 08 - Novel Reliability Test Methods,"Rui Chen, Suresh Sitaraman - Georgia Institute of Technology; Nicholas Ginga - University of Alabama in Huntsville",10.1109/ectc51909.2023.00057,https://doi.org/10.1109/ectc51909.2023.00057,https://www.semanticscholar.org/paper/3f0af6fc40e3df5832d1ed6502510448493dc640,솔더볼에 소형 자석을 붙여 비접촉 하중을 가하는 저비용 측정법으로 IMC 두께 증가에 따른 접합 강도 저하를 정량화했다.,
2023,S08-03,core,Residual Stress Measurement of Build-Up Layer in Silicon Wafers,Session 08 - Novel Reliability Test Methods,"Junbo Yang, Chongyang Cai, Yangyang Lai, Jong Hwan Ha, Seungbae Park - Binghamton University; Huayan Wang, Suresh Ramalingam, Gamal Refai-Ahmed - Advanced Micro Devices, Inc.",10.1109/ectc51909.2023.00058,https://doi.org/10.1109/ectc51909.2023.00058,https://www.semanticscholar.org/paper/154057d4552d6db2326198a353fca5d3d627c748,두께·온도별 칩 워페이지 측정값을 유한요소 모델과 역대조해 빌드업층의 잔류응력과 유효 물성을 추정했다.,
2023,S08-04,core,Chip Level Evaluation of Wafer-to-Wafer Direct Bonding Strength with Bending test,Session 08 - Novel Reliability Test Methods,"Juno Kim, Kyungmin Baek, Min-soo Han, Kyeongbin Lim, Minwoo Daniel Rhee - Samsung Electronics Co., Ltd.-Mechatronics Research",10.1109/ectc51909.2023.00059,https://doi.org/10.1109/ectc51909.2023.00059,https://www.semanticscholar.org/paper/092caf273ded81ad9a7bc60d8c233eb847a9fb5d,기존 DCB가 보기 어려운 웨이퍼 중앙부까지 평가하도록 칩 단위 3점 굽힘과 파괴역학 해석을 결합한 직접접합 강도 측정법을 만들었다.,
2023,S08-05,core,In-Situ Observation of Microscale Crack-Tip Strain Field Evolution in Underfill with Different Toughening Agents via SEM-DIC Coupled Method,Session 08 - Novel Reliability Test Methods,"Xuecheng Yu, Gang Li, Yixuan Fan, Rong sun - Chinese Academy of Science-Shenzhen Institute of Advanced Technology",,,,제목 기준: SEM 안에서 DIC를 함께 사용해 강화제가 다른 언더필의 미세 균열 선단 변형률장을 실시간 관찰하는 방법을 다룬다.,공개 초록 미확보; 한국어 문장은 제목 기준 설명
